"data","observado","previsto"
2023-05-01,0.23,0.236914311001097
2023-06-01,-0.08,-0.0185441048221275
2023-07-01,0.12,0.0592961711550802
2023-08-01,0.23,0.201463739569607
2023-09-01,0.26,0.41455724770819
2023-10-01,0.24,0.379797597439229
2023-11-01,0.28,0.336683783331148
2023-12-01,0.56,0.539341392967738
2024-01-01,0.42,0.32599305377681
2024-02-01,0.83,0.660984275139705
2024-03-01,0.16,0.156811358966807
2024-04-01,0.38,0.290461313424178
2024-05-01,0.46,0.310083403467459
2024-06-01,0.21,0.222054508322197
2024-07-01,0.38,0.208784308986859
2024-08-01,-0.02,0.0671882727012151
2024-09-01,0.44,0.36166425932338
2024-10-01,0.56,0.536133335998717
2024-11-01,0.39,0.224683830212417
2024-12-01,0.52,0.64545133779312
2025-01-01,0.16,-0.0676228287421554
2025-02-01,1.31,1.6295892787538
2025-03-01,0.56,0.46963076347846
2025-04-01,0.43,0.466788561744735
